Start,End,Duration,Subject,Task
2020-09-28 17:50:00.000000,2020-09-28 18:50:00.000000,0 days 01:00:00.000000000,Probability,Joint Distribution Questions
2020-09-28 18:50:00.000000,2020-09-28 19:46:00.000000,0 days 00:56:00.000000000,MKTG101,Case
2020-09-29 08:48:10.619390,2020-09-29 08:48:16.497025,0 days 00:00:05.877635000,Probability,Joint Distribution Questions
2020-09-29 08:49:24.165650,2020-09-29 10:34:32.538171,0 days 01:45:08.372521000,Probability,Joint Distribution Questions
2020-09-29 10:42:01.763864,2020-09-29 11:12:28.396469,0 days 00:30:26.632605000,Probability,Joint Distribution Questions
2020-09-29 11:20:00.000000,2020-09-29 12:00:00.608096,0 days 00:40:00.608096000,Coding Prep,Strings Questions
2020-09-29 13:50:48.567286,2020-09-29 13:50:53.104221,0 days 00:00:04.536935000,Coding Prep,Strings Questions
2020-09-29 13:50:56.448722,2020-09-29 14:47:56.581026,0 days 00:57:00.132304000,Coding Prep,Strings Questions
2020-09-29 15:33:31.859136,2020-09-29 16:57:51.628196,0 days 01:24:19.769060000,Probability,Joshi Book
2020-09-29 16:58:01.533994,2020-09-29 18:47:26.102909,0 days 01:49:24.568915000,CIS520,HW3
2020-09-29 18:49:13.881089,2020-09-29 19:41:07.471607,0 days 00:51:53.590518000,Recruiting,Behavioral Prep
2020-09-29 19:54:29.655999,2020-09-29 20:48:36.515063,0 days 00:54:06.859064000,Econ Fed,Write Proposal
2020-09-30 08:50:00.000000,2020-09-30 11:30:00.000000,0 days 02:40:00.000000000,Econ Fed,Working on Proposal
2020-09-30 11:45:00.000000,2020-09-30 12:45:00.000000,0 days 01:00:00.000000000,FNCE206,Reading Case
2020-09-30 12:45:00.000000,2020-09-30 13:15:00.000000,0 days 00:30:00.000000000,Derivatives,Reading Hull
2020-09-30 15:07:37.612794,2020-09-30 15:07:40.414175,0 days 00:00:02.801381000,Recruiting,Behavioral Prep
2020-09-30 15:10:36.164468,2020-09-30 16:27:59.500993,0 days 01:17:23.336525000,Recruiting,Behavioral Prep
2020-09-30 16:50:00.000000,2020-09-30 18:00:00.000000,0 days 01:10:00.000000000,Recruiting,Behavioral Prep
2020-09-30 18:18:05.392872,2020-09-30 19:21:13.934459,0 days 01:03:08.541587000,Probability,Game Theory Book
2020-09-30 19:51:20.884392,2020-09-30 20:39:23.093514,0 days 00:48:02.209122000,ECON233,Watch Lecture
2020-10-01 06:30:00.000000,2020-10-01 07:15:00.000000,0 days 00:45:00.000000000,ECON233,Midterm Revision
2020-10-01 08:05:00.000000,2020-10-01 08:30:00.000000,0 days 00:25:00.000000000,ECON233,Midterm Revision
2020-10-01 08:30:00.000000,2020-10-01 09:30:00.000000,0 days 01:00:00.000000000,Recruiting,BOA Research and Coffee Chat
2020-10-01 09:30:00.000000,2020-10-01 10:15:00.000000,0 days 00:45:00.000000000,ECON233,Midterm Revision
2020-10-01 10:30:00.000000,2020-10-01 11:55:00.000000,0 days 01:25:00.000000000,ECON233,Midterm
2020-10-01 14:25:00.000000,2020-10-01 16:55:00.000000,0 days 02:30:00.000000000,CIS520,HW3
2020-10-01 17:00:00.000000,2020-10-01 18:00:00.000000,0 days 01:00:00.000000000,Recruiting,Two Sigma Event
2020-10-01 18:30:00.000000,2020-10-01 19:00:00.000000,0 days 00:30:00.000000000,CIS520,HW3
2020-10-01 19:00:00.000000,2020-10-01 19:45:00.000000,0 days 00:45:00.000000000,Recruiting,Talking to SIG Quant
2020-10-01 19:50:00.000000,2020-10-01 21:05:00.000000,0 days 01:15:00.000000000,CIS520,HW3
2020-10-02 11:00:00.000000,2020-10-02 12:10:00.000000,0 days 01:10:00.000000000,Econ Fed,Meeting with Bossi
2020-10-02 12:45:00.000000,2020-10-02 16:30:00.000000,0 days 03:45:00.000000000,FNCE206,HW
2020-10-02 16:00:00.000000,2020-10-02 16:30:00.000000,0 days 00:30:00.000000000,CIS520,HW3
2020-10-03 10:30:00.000000,2020-10-03 11:15:00.000000,0 days 00:45:00.000000000,FNCE206,Office Hours with Prof
2020-10-03 14:40:00.000000,2020-10-03 16:42:00.000000,0 days 02:02:00.000000000,Recruiting,Trading and Exchanges Book
